tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,plot
tt0001663,movie,Her Sacrifice,Her Sacrifice,1911,18,"Drama,Short",,,nm0000428,"After discovering that he has won a scholarship to study painting in Paris, a young man an proposes to his girlfriend. She is reluctant because of a secret in her past, but her persuades her to accompany him to France where she models to augment his funds. He wins a large prize for his work and the couple look set to return home in triumph. However, when the man who once seduced her appears and threatens her happiness she attempts suicide. The story climaxes in a duel between the two men."
tt0001671,movie,His Daughter,His Daughter,1911,17,"Drama,Short",5.1,38.0,nm0000428,
tt0001676,movie,His Mother,His Mother,1911,\N,"Drama,Short",,,\N,"Terence, a violin player living in the Irish country side with his mother, is overheard by a group of passing Americans, including the banker John Foster who recognizes him as a musical genius and asks him to come to New York. After a few months, Terences mother gives him her life savings to book passage for him to travel to America. He becomes a success, but rarely thinks of his mother. Pining for her son, his mother receives help from a parish priest and is able to follow him to New York. After seeing him in concert at the opera house, a stagehand guides her to Terences house, where a butler refuses to let them in. When Terence learns of his mother, he rushes from his dinner with his friends and tearfully embraces her. He presents her to his friends, where they drink a toast to her."
tt0001684,movie,The Honeymooners,The Honeymooners,1911,\N,"Romance,Short",,,\N,"Most of The Honeymooners takes place in Ralph and Alice Kramdens small, sparsely furnished two-room apartment. Other settings used in the show included the Gotham Bus Company depot, the Raccoon Lodge, a neighborhood pool parlor, a park bench where Ralph and Ed occasionally meet for lunch, and on occasion the Nortons apartment (always noticeably better-furnished than the Kramdens). Many episodes begin with a shot of Alice in the apartment awaiting Ralphs arrival from work. Most episodes focus on Ralphs and Eds characters, although Alice played a substantial role. Trixie played a smaller role in the series, and did not appear in every episode as did the other three. Each episode presented a self-contained story, which rarely carried over into a subsequent one. The show employed a number of standard sitcom clichés and plots, particularly those of jealousy, get-rich-quick schemes, and comic misunderstanding.As to the occasional plot continuations, there were two such sequences — one concerning Ralph being sent to a psychiatrist because of ""impatient"" behavior during work that resulted in several passengers lodging complaints about his professional demeanor, and one that continued for two sequential shows in which Aunt Ethel visited and Ralph hatched a scheme to marry her off to the neighborhood butcher.The series presents Ralph as an everyman and an underdog who struggles to make a better life for himself and his wife, but who ultimately fails due to his own shortcomings. He, often along with Ed, devises a number of get-rich-quick schemes, none of which succeed. Ralph would be quick to blame others for his misfortune until it was pointed out to him where he had fallen short. Ralphs anger then would be replaced by short-lived remorse, and he would apologize for his actions. Many of these apologies to Alice ended with Ralph saying in a heartfelt manner, ""Baby, youre the greatest,"" followed by a hug and kiss.In most episodes, Ralphs short temper got the best of him, leading him to yell at others and to threaten comical physical violence, usually against Alice. Ralphs favorite threats to her were ""One of these days ... One of these days ... Pow! right in the kisser!"" or to knock her ""to the Moon, Alice!"" (Sometimes this last threat was simply abbreviated: as ""Bang, zoom!"") On other occasions, Ralph simply told Alice, ""Oh, are you gonna get yours."" All of this led to criticism, more than 40 years later, that the show displayed an ironic acceptance of domestic violence. But Ralph never carried out his threats, and others have pointed out that Alice knew he never would because of their deep love for each other — indeed, Alice never was seen to back down during any of Ralphs tirades. In retaliation, the targets of Ralphs verbal abuse often responded by simply joking about his weight, a common theme throughout the series.For the ""Classic 39"" episodes of The Honeymooners, there was no continuing story arc. Each episode is self-contained. For example, in the series premiere episode ""TV Or Not TV"", Ralph and Norton buy a television set with the intent to share it. By the next weeks show, the set is gone although in later episodes a set is shown in the Nortons apartment. In the installment ""The Baby Sitter"", the Kramdens get a telephone, but in the next episode, it is gone. And, in the episode, ""A Dogs Life"", Alice gets a dog from the pound which Ralph tries to return. But, in the end, Ralph finds himself growing to love the dog and decides to keep it along with a few other dogs. However, in the next episode, the dogs are nowhere to be seen and are never referred to again.Occasionally, references to earlier episodes were made, including to Ralphs various ""crazy harebrained schemes"" from the lost episodes. Nortons sleepwalking in ""The Sleepwalker"" was referenced in ""Oh My Aching Back"", but it was not until the 1967 ""Trip To Europe"" shows that a Honeymooners story arc is finally used."
tt0001684,movie,The Honeymooners,The Honeymooners,1911,\N,"Romance,Short",,,\N,"Most of The Honeymooners takes place in Ralph and Alice Kramdens small, sparsely furnished two-room apartment. Other settings used in the show included the Gotham Bus Company depot, the Raccoon Lodge, a neighborhood pool parlor, a park bench where Ralph and Ed occasionally meet for lunch, and on occasion the Nortons apartment (always noticeably better-furnished than the Kramdens). Many episodes begin with a shot of Alice in the apartment awaiting Ralphs arrival from work. Most episodes focus on Ralphs and Eds characters, although Alice played a substantial role. Trixie played a smaller role in the series, and did not appear in every episode as did the other three. Each episode presented a self-contained story, which rarely carried over into a subsequent one. The show employed a number of standard sitcom clichés and plots, particularly those of jealousy, get-rich-quick schemes, and comic misunderstanding.As to the occasional plot continuations, there were two such sequences — one concerning Ralph being sent to a psychiatrist because of ""impatient"" behavior during work that resulted in several passengers lodging complaints about his professional demeanor, and one that continued for two sequential shows in which Aunt Ethel visited and Ralph hatched a scheme to marry her off to the neighborhood butcher.The series presents Ralph as an everyman and an underdog who struggles to make a better life for himself and his wife, but who ultimately fails due to his own shortcomings. He, often along with Ed, devises a number of get-rich-quick schemes, none of which succeed. Ralph would be quick to blame others for his misfortune until it was pointed out to him where he had fallen short. Ralphs anger then would be replaced by short-lived remorse, and he would apologize for his actions. Many of these apologies to Alice ended with Ralph saying in a heartfelt manner, ""Baby, youre the greatest,"" followed by a hug and kiss.In most episodes, Ralphs short temper got the best of him, leading him to yell at others and to threaten comical physical violence, usually against Alice. Ralphs favorite threats to her were ""One of these days ... One of these days ... Pow! right in the kisser!"" or to knock her ""to the Moon, Alice!"" (Sometimes this last threat was simply abbreviated: as ""Bang, zoom!"") On other occasions, Ralph simply told Alice, ""Oh, are you gonna get yours."" All of this led to criticism, more than 40 years later, that the show displayed an ironic acceptance of domestic violence. But Ralph never carried out his threats, and others have pointed out that Alice knew he never would because of their deep love for each other — indeed, Alice never was seen to back down during any of Ralphs tirades. In retaliation, the targets of Ralphs verbal abuse often responded by simply joking about his weight, a common theme throughout the series.For the ""Classic 39"" episodes of The Honeymooners, there was no continuing story arc. Each episode is self-contained. For example, in the series premiere episode ""TV Or Not TV"", Ralph and Norton buy a television set with the intent to share it. By the next weeks show, the set is gone although in later episodes a set is shown in the Nortons apartment. In the installment ""The Baby Sitter"", the Kramdens get a telephone, but in the next episode, it is gone. And, in the episode, ""A Dogs Life"", Alice gets a dog from the pound which Ralph tries to return. But, in the end, Ralph finds himself growing to love the dog and decides to keep it along with a few other dogs. However, in the next episode, the dogs are nowhere to be seen and are never referred to again.Occasionally, references to earlier episodes were made, including to Ralphs various ""crazy harebrained schemes"" from the lost episodes. Nortons sleepwalking in ""The Sleepwalker"" was referenced in ""Oh My Aching Back"", but it was not until the 1967 ""Trip To Europe"" shows that a Honeymooners story arc is finally used."
tt0001685,movie,Honor Thy Father,Honor Thy Father,1912,\N,"Drama,Short",,,\N,"The book begins when Joseph ""Joe Bananas"" Bonanno is kidnapped from the streets of New York in 1964 and the Bonanno crime family is thrown into disarray for two years in a power struggle called the Banana War, culminating in an armed ambush in Brooklyn in which Joes son Bill Bonanno is nearly killed.Though punctuated by life-threatening encounters, Talese also recounts how much of a mafiosos life is as tedious as any persons: days filled with television, overeating, time spent with family.  Prominent mafiosi, like Vito Genovese, Lucky Luciano, Joseph Profaci, feature in Taleses account, but the story is focused on Bill Bonannos thoughts about his life as a mafioso.  Talese notes the similarities of Bills life to many ordinary Americans — homogenized from his ancestors culture, an alumnus of the University of Arizona where he belonged to ROTC.  But as son of Joe Bonanno, he was an heir to his fathers empire, which was a source of great stress for Bill.  The books title was suggested by Bills wife Rosalie as acid commentary on the deleterious effect of Joe Bonanno on her husbands life.  The intensely introspective account that Talese extracted from Bill Bonanno prompted Time magazine to label him ""the golden retriever of personalized journalism"".  A review in The New York Times wrote that Talese ""conveys the impression that being a mobster is much the same as being a sportsman, film star or any other kind of public personality.""Talese concludes with the controversial thesis that the Italian Mafia was little different than gangs that came with previous waves of immigration, such as Irish gangs in the century before, or black and Latino gangs that Talese saw as following. Talese attributed the rise of the gangs as a consequence of a majority that oppresses a minority group."
tt0001685,movie,Honor Thy Father,Honor Thy Father,1912,\N,"Drama,Short",,,\N,"The book begins when Joseph ""Joe Bananas"" Bonanno is kidnapped from the streets of New York in 1964 and the Bonanno crime family is thrown into disarray for two years in a power struggle called the Banana War, culminating in an armed ambush in Brooklyn in which Joes son Bill Bonanno is nearly killed.Though punctuated by life-threatening encounters, Talese also recounts how much of a mafiosos life is as tedious as any persons: days filled with television, overeating, time spent with family.  Prominent mafiosi, like Vito Genovese, Lucky Luciano, Joseph Profaci, feature in Taleses account, but the story is focused on Bill Bonannos thoughts about his life as a mafioso.  Talese notes the similarities of Bills life to many ordinary Americans — homogenized from his ancestors culture, an alumnus of the University of Arizona where he belonged to ROTC.  But as son of Joe Bonanno, he was an heir to his fathers empire, which was a source of great stress for Bill.  The books title was suggested by Bills wife Rosalie as acid commentary on the deleterious effect of Joe Bonanno on her husbands life.  The intensely introspective account that Talese extracted from Bill Bonanno prompted Time magazine to label him ""the golden retriever of personalized journalism"".  A review in The New York Times wrote that Talese ""conveys the impression that being a mobster is much the same as being a sportsman, film star or any other kind of public personality.""Talese concludes with the controversial thesis that the Italian Mafia was little different than gangs that came with previous waves of immigration, such as Irish gangs in the century before, or black and Latino gangs that Talese saw as following. Talese attributed the rise of the gangs as a consequence of a majority that oppresses a minority group."
tt0001693,movie,The Immortal Alamo,The Immortal Alamo,1911,20,"History,Short,Western",7.1,25.0,nm0352726,"The film is a historical drama that depicts General Antonio López de Santa Annas attack on the Alamo Mission in San Antonio in the Battle of the Alamo. The film was made on location in the Alamo and introduced historical figures such as Davy Crockett and William B. Travis. The film has a romance element where Mexican spy Senor Navarre has affections for Lieutenant Dickensons wife, Lucy. When the Mexican Army lays siege, Colonel Travis calls upon his men to send word to General Sam Houston and Lieutenant Dickenson volunteers. As soon as he departs, Senor Navarre attempts to charm Lucy Dickenson, but she is repulsed by his advances and is saved from being overpowered by Colonel Travis. Senor Navarre is forced out and proceeds to provide General Santa Anna information on the mission in return for the right to take a survivor to be his bride. After the Alamo falls, only a few women survive, among them is Lucy Dickenson. Senor Navarre holds General Santa Anna to the promise and prepares to marry her the next day. Before the marriage can be performed Lieutenant Dickenson and the reinforcements arrive and capture Senor Navarre. Lieutenant Dickenson avenges his wifes honor by slaying Senor Navarre with his sword. The final scene of the film shows Santa Anna surrendering as a ""common soldier""."
tt0001699,movie,In the Reign of Terror,In the Reign of Terror,1911,17,Short,,,nm0294276,
tt0001724,movie,The Last Drop of Water,The Last Drop of Water,1911,18,"Short,Western",5.8,288.0,nm0000428,"Two men who are friends, John and Jim, compete for the hand of Mary before they start on their journey westward. Mary is betrothed to John but she soon finds out about his lush behaviors. Native Americans ambush the train; the attack leaves the party with a low supply of water. Fearing dehydration and because of need both John and Jim set out for water. Jim gives water to an older gentleman while John gives Jim the last drop of water, thus sacrificing himself for the train to continue on westward. Jim finds a water supply with the energy John gave to him with his last drop of water and the train is then rescued by the troops."
tt0001728,movie,The Last of the Mohicans,The Last of the Mohicans,1911,\N,"Adventure,Short",6.1,17.0,\N,"Cora and Alice Munro, daughters of Lieutenant Colonel Munro, are traveling with Major Duncan Heyward from Fort Edward to Fort William Henry, where Munro is in command, and acquire another companion in David Gamut, a singing teacher.  They are guided through the forest by a native named Magua, who leads them through a shortcut unaccompanied by the British militia. Heyward is dissatisfied with Maguas shortcut, and the party roams unguided and finally join Natty Bumppo, known as Hawk-eye, a scout for the British, and his two Mohican friends, Chingachgook and his son Uncas.  Heyward becomes suspicious of Magua, and Hawk-eye and the Mohicans agree with his suspicion that Magua is a Huron scout secretly allied with the French. Upon discovery as such, Magua escapes, and in the (correct) belief that Magua will return with Huron reinforcements, Hawk-eye and the Mohicans lead their new companions to a hidden cave on an island in a river. They are attacked there by the Hurons, and their ammunition is soon exhausted. Knowing they will be killed instantly but that the English party will make valuable captives, Hawk-eye and the Mohicans escape, with a promise to return for their companions.Magua and the Hurons capture Heyward, Gamut, and the Munro sisters. Magua admits that he is seeking revenge against Coras father, Colonel Munro, for turning him into an alcoholic with whiskey (causing him to be temporarily cast out of the Hurons) and then whipping him at a post for drunken behavior. He offers to spare the party if Cora becomes his wife, but she refuses. Upon a second refusal, he sentences the prisoners to death. Hawk-eye and the Mohicans rescue all four and lead them to a dilapidated building that was involved in a battle between the Huron and the British some years ago. They are nearly attacked again, but the Hurons leave the area, rather than disturb the graves of their tribesmen.The next day, Hawk-eye leads the party to Fort Henry, past a siege by the French army. Munro sends Hawk-eye to Fort Edward for reinforcements, but he is captured by the French, who deliver him to Fort Henry without the letter. Heyward returns to Colonel Munro and announces his love for Alice, and Munro gives his permission for Heywards courtship. The French general, Montcalm, invites Munro to a parley and shows him General Webbs letter, in which the British general has refused reinforcements. At this, Munro agrees to Montcalms terms: that the British soldiers, together with their women and children, must leave the fort and withdraw from the war for eighteen months. Outside the fort, the column of British evacuees is betrayed and ambushed by 2,000 Huron warriors; in the ensuing massacre, Magua kidnaps Cora and Alice, and he leads them toward the Huron village, with David Gamut in pursuit.Hawk-eye, the Mohicans, Heyward, and Colonel Munro survive the massacre and set out to follow Magua, and cross a lake to intercept his trail. They encounter a band of Hurons by the lakeshore, who spot the travelers. A canoe chase ensues, in which the rescuers reach land before the Hurons can kill them, and eventually follow Magua to the Huron village. Here, they find Gamut (earlier spared by the Hurons as a harmless madman), who says that Alice is held in this village and Cora in one belonging to the Lenape (Delaware).Disguised as a French medicine man, Heyward enters the Huron village with Gamut to rescue Alice; Hawk-eye and Uncas set out to rescue Cora, and Munro and Chingachgook remain in safety. Uncas is taken prisoner by the Hurons and left to starve when he withstands torture, and Heyward fails to find Alice. A Huron warrior asks Heyward to heal his lunatic wife, and both are stalked by Hawk-eye in the guise of a bear. They enter a cave where the madwoman is kept, and the warrior leaves. Soon after the revelation of his identity to Heyward, Hawk-eye accompanies him, and they find Alice. They are discovered by Magua, but Hawk-eye overpowers him, and they leave him tied to a wall. Thereafter Heyward escapes with Alice, while Hawk-eye remains to save Uncas. Gamut convinces a Huron to allow him and his magical bear (Hawk-eye in disguise) to approach Uncas, and they untie him. Uncas dons the bear disguise, Hawk-eye wears Gamuts clothes, and Gamut stays in a corner mimicking Uncas. Uncas and Hawk-eye escape by traveling to the Delaware village where Cora is being held, just as the Hurons suspect something is amiss and find Magua tied up in the cave. Magua tells his tribe the full story behind Heyward and Hawk-eyes deceit before assuming leadership of the Hurons, who vow revenge.Uncas and Hawk-eye are being held prisoner with Alice, Cora, and Heyward by the Delawares. Magua enters the Delaware village and demands the return of his prisoners. During the ensuing council meeting, Uncas is revealed to be a Mohican, a once-dominant tribe closely related to the Delawares. Tamenund, the sage of the Delawares, sides with Uncas and frees the prisoners, except Cora, whom he awards to Magua according to tribal custom. This makes a showdown between the Hurons and Delawares inevitable, but to satisfy laws of hospitality, Tamenund gives Magua a three-hour head start before pursuit. While the Delawares are preparing for battle, David Gamut escapes the Huron village and tells his companions that Magua has positioned his men in the woods between the Huron and Delaware villages. Undeterred, Uncas, Hawk-eye, Heyward, Gamut, and the Delawares march into the woods to fight the Hurons.In the ensuing battle, the Delawares are joined by Chingachgook and Munro, and ultimately vanquish the Hurons and capture their village, but Magua escapes with Cora and two other Hurons; Uncas, Hawk-eye, Heyward, and Gamut pursue them up to a high mountain. In a fight at the edge of a cliff, one of the Hurons kills Cora, Gamut kills one of the Hurons, Magua kills Uncas, and Hawk-eye kills Magua. The novel concludes with a lengthy account of the funerals of Uncas and Cora at the Delaware village, and Hawk-eye reaffirms his friendship with Chingachgook. Tamenund prophesies: ""The pale-faces are masters of the earth, and the time of the red-men has not yet come again..."""
tt0001729,movie,The Law of the Range,The Law of the Range,1911,\N,"Drama,Short,Western",,,nm0265289,"Betty Dallas (Crawford) is a passenger on a stagecoach that is held up by an outlaw named The Solitaire Kid (Lease).  Ranger Jim Lockhart (McCoy),who is Bettys sweetheart, is in pursuit of The Solitaire Kid, and in the end, as the two men face one another, there is a mortal shoot-out."
tt0001738,movie,Little Red Riding Hood,Little Red Riding Hood,1911,\N,"Fantasy,Short",6.6,62.0,"nm0456804,nm0601698,nm0875869",
tt0001738,movie,Little Red Riding Hood,Little Red Riding Hood,1911,\N,"Fantasy,Short",6.6,62.0,"nm0456804,nm0601698,nm0875869",
tt0001746,movie,Lost in the Arctic,Lost in the Arctic,1911,\N,"Action,Adventure,Drama",,,nm0597995,"This film is described in 1911 trade publications and in Selig promotional material as a story of adventure in the Eskimos ""land of eternal ice"". The motion picture, according to reviews and plot descriptions in those publications, opened with snow-covered scenes of a group of Eskimos on a seasonal tribal hunt for game. Soon they discover a teenage orphan girl (Columbia Eneutseak) living alone in a hut. Very sick and without food, she has little chance of survival, so the tribal members refuse to adopt her into their community. They instead invoke the Eskimos ""unwritten law"" that imposes a death sentence on anyone who is judged to be ""too ill or too aged to participate in the annual hunt"". In accordance with that law, the orphan is allowed to choose one of two means of death: she may either wander into the surrounding wilderness and be devoured by wolves and bears, or she may be set adrift in an umiak or open canoe without any supplies. She chooses the latter.After conducting a solemn ""Ceremony of the Walrus Skull"", calling upon the spirits to guide the teenager on her ""journey into darkness"", tribal members place her into the canoe and launch her into open water bordered by immense fields of solid ice. Elsewhere, at the same time, a white explorer named Davis (William Monk) is desperate for food and is trying to spear seals though holes in the ice. He is the lone survivor of a ""lost polar expedition"", and as he continues his hunt, he suddenly realizes that the large section of ice on which he is standing has broken off from the ice field and is drifting out to sea. Seemingly doomed, Davis is later elated to sight the orphans canoe, which has miraculously drifted toward his ice floe. Davis manages to join the girl, whose weak condition has only worsened. Captain John Smith (J. C. Smith), another Arctic explorer, is out searching for the lost expedition across the ice-strewn sea. Overcoming his own ""trials and suffering"" in the search, Smith finally locates his colleague and saves him as well as his sick Eskimo companion."
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001761,movie,Macbeth,Macbeth,1911,14,"Drama,Short",5.4,6.0,\N,
tt0001772,movie,A Manly Man,A Manly Man,1911,10,"Drama,Short",5.5,23.0,nm0408436,Mary Pickford stars as a Filipino woman who falls for a white man portrayed by William E. Shay and nurses him back to health when he is struck by fever.In other films Pickford portrayed a Native American and a Mexican.
tt0001776,movie,Max Takes Tonics,Max victime du quinquina,1911,17,"Comedy,Short",6.4,244.0,nm0511729,"Max visits a doctor who prescribes a tonic (Bordeaux of Cinchona) for him to drink every morning.  Upon returning home, Max sees a large glass which was left by his wife and labeled ""Souvenir de Bordeaux"".  He consumes it in its entirety after assuming that it was his medicine.  Immediately Max feels much better.  Hilarity ensues as Max goes about the day in a completely drunken state."
tt0001785,movie,The Miner's Curse,The Miner's Curse,1911,\N,Drama,,,nm0738202,"Sam Flood, a gambler in a small Western mining town, is in love with May, the daughter of Harper, who runs the local pub. However, May is in love with a handsome young miner named Dick Taylor.Flood induces Dick to play a game of poker, and while the game is proceeding, Dick sees Flood slip four cards up his sleeve. Dick immediately rises and calls Flood a cheat; the latter draws a revolver and points it at Dick.  A fight ensues; the revolver goes off, but nobody is hurt, and at last Dick secures the weapon, calmly takes the cartridges out, and returns it to Flood.  Dick then challenges Flood to fight him. Flood accepts and they go outside, where Dick punches out Flood. Tess Jones, who loves Flood, tries to cheer him up but he hits her.A few days later Flood follows May into the bush and attempts to kiss her, but Dick has followed, and Flood is forced to flee.Flood and three accomplices arrange to stick up a gold escort, and their plan is overheard by May and her little brother Jack. The men see May and seize her, but Jack hides behind a tree and isnt discovered.  They take May with them, and after they are gone, Jack comes out from his hiding place and runs home, where he tells his parents and the miners what has happened.The miners, led by Dick, start out in pursuit. May is tied to a tree and left there while Flood and his party leave for the location where they plan to attack the escort.A tree is felled across the track, and the men await the arrival of the escort. A mounted trooper appears and rides up to the tree and dismounts. As he does so, Flood hits him over the head, stunning him, then drags him into the bush.They are just in time, for the coach comes swinging around a bend, the driver pulling up as he gets to the fallen tree. Flood and his companions open fire, two troopers fall, and the others surrender. The robbers overturn the coach and drive the horses into the bush.While getting out the gold boxes and mail bags, Dick and the miners ride up, firing a volley as they do so, and the men, with the exception of Flood, are captured. Flood slips away in the excitement, returning to where his horse was left.  He makes his escape, although the miners are close behind.A week later Dick and May are to be married. In the meantime Flood, who has evaded capture, returns to the township to have revenge on Dick, although Tess tries to dissuade him.The wedding day arrives, and as per Dicks wish they are married in the bush. The minister has just made them one, when Flood rushes in, revolver in hand. Just as he fires, Tess steps forward and receives the bullet meant for Dick. The miners seize Flood and nearly tear him to pieces before handing him over to the police."
tt0001793,movie,A Modern Hero,A Modern Hero,1911,13,"Crime,Drama,Short",,,nm0294276,"When a circus comes to Pentland, Illinois, young Joanna Ryan (Jean Muir) is seduced by trick rider Pierre Radier (Richard Barthelmess). Despite his physical skill, Pierre is dissatisfied with circus life and falls in love with Joanna.  His mother, the one-armed circus star Madame Azais (Marjorie Rambeau), warns Pierre about falling in love. She tells how she lost her arm to a leopard because she was distracted by her love for Pierres father, one of the richest men in Europe.  She urges Pierre instead to act on his ambitions and desire for wealth.  Joannas drunken father (J. M. Kerrigan) confronts Pierre with news of Joannas pregnancy, then died in an accident, Pierre offers to marry Joanna, but she wants the familiar stability of small-town life and marries local Elmer Croy (Theodore Newton). Croy knows about her pregnancy.  Pierre gives her money for the childs support.Joannas Aunt Clara (Maidel Turner) arranges for Pierre to see his newborn son and introduces him to her friend, wealthy widow Leah Ernst (Florence Eldridge).  Planning to open a bicycle shop with his friend Henry Mueller (Hobart Cavanaugh), Pierre borrows money from Leah and becomes her lover.  The shop is a success, and Pierre and Henry move into the emerging automobile business, finding an eager backer in Homer Flint (Arthur Hohl), the richest man in the state.  Meanwhile, afraid of  losing Pierre,  Leah seeks advice from Madame Azais, now a fortune-teller, unaware that she is Pierres mother.  Madame Azais warns Leah that she will not be able to hold Pierre, because no woman ever means as much to him as he does to himself.In his quest for financial and social success, Pierre Americanizes his name to ""Paul Rader"" and becomes Flints partner, driving Henry to go his own way.  On the way to the country club, Paul proposes to Flints daughter, Hazel (Dorothy Burgess), more to further his own ambitions than for love. At the club, a young boy offers to caddy for him, and Paul discovers that the boy is his son, Pierre Croy.Now married but childless, Paul offers to adopt Pierre. Joanna flatly refuses, but she allows Paul to finance Pierres education at an elite boarding school when Pierre is older. She worries that Paul may spoil his son, who is still unaware of his parentage.In 1922, Paul escorts Pierre to school and stops in New York City, where he begins an affair with yet another wealthy woman, Lady Claire Benston (Verree Teasdale). Yearning for complete financial independence from Flint, Paul entrusts his entire fortune to a stock speculator. Pierre, now a young man, spends Christmas in New York with Paul and comes home drunk after a night on the town. Warning Pierre about the dangers of drinking “when it is in your blood”, Paul reveals that he is his father. The two look forward to a future in business together. Meanwhile, a distraught Hazel finds Pauls will leaving everything to his son.It all comes crashing down. The stock speculator, a swindler, vanishes. Lady Benston wants nothing further to do with Paul, calling him a peasant. Pierre is killed driving a new car given him by his father. When he brings Pierres body to the grieving family, Joanna refuses to shake his hand. Paul leaves Hazel, who cries that shes glad Pierre is dead. Ruined and heartsick, Paul seeks out his mother. Though she is old and living in near-poverty, she tells him that he is free of his fathers blood; he has finally learned what is real. They can make a fresh start in Europe. Paul kneels, saying, ""Maybe some day, Ill be worthy of you."""
tt0001803,movie,The Mystery of a Hansom Cab,The Mystery of a Hansom Cab,1911,\N,\N,3.0,13.0,nm0511143,"The Mystery of a Hansom Cab takes place in Melbourne, Australia, and involves an investigation into a homicide, after a corpse is discovered in the early hours, in a hansom cab. Melbourne plays a significant role in the plot and, as the author describes, ""Over all the great city hung a cloud of smoke like a pall."" The killers identity is not as significant a revelation in the story as are the roles of the influential and secretive Frettlby family, and their secret: they have a daughter  living on the streets, and the woman everyone assumes is their daughter is illegitimate. The class divide between Melbournes wealthy and less fortunate is addressed throughout the plot.The protagonist in the novel is a policeman named Detective Gorby, who is given the task of solving the murder. As Hume describes the characters investigative skills, ""He looked keenly round the room, and his estimate of the dead mans character was formed at once."" The author commented in a later introduction, ""All of the scenes in the book, especially the slums, are described from personal observation; and I passed a great many nights in Little Bourke Street, gathering material"". At this time, the street was notorious as a place frequented by prostitutes and criminals."
tt0001803,movie,The Mystery of a Hansom Cab,The Mystery of a Hansom Cab,1911,\N,\N,3.0,13.0,nm0511143,"The Mystery of a Hansom Cab takes place in Melbourne, Australia, and involves an investigation into a homicide, after a corpse is discovered in the early hours, in a hansom cab. Melbourne plays a significant role in the plot and, as the author describes, ""Over all the great city hung a cloud of smoke like a pall."" The killers identity is not as significant a revelation in the story as are the roles of the influential and secretive Frettlby family, and their secret: they have a daughter  living on the streets, and the woman everyone assumes is their daughter is illegitimate. The class divide between Melbournes wealthy and less fortunate is addressed throughout the plot.The protagonist in the novel is a policeman named Detective Gorby, who is given the task of solving the murder. As Hume describes the characters investigative skills, ""He looked keenly round the room, and his estimate of the dead mans character was formed at once."" The author commented in a later introduction, ""All of the scenes in the book, especially the slums, are described from personal observation; and I passed a great many nights in Little Bourke Street, gathering material"". At this time, the street was notorious as a place frequented by prostitutes and criminals."
